day;product;side;counterparty;n_trades;total_qty;mean_trade_price;signed_flow;horizon_pnl_500;horizon_pnl_2000;mean_horizon_pnl_500
2;VEV_4000;seller;Mark 14;64;124.0;1264.258065;-124.0;1253.0;1186.0;10.1048
2;VELVETFRUIT_EXTRACT;buyer;Mark 22;9;51.0;5259.490196;51.0;-12.0;83.0;-0.2353
2;HYDROGEL_PACK;buyer;Mark 14;142;571.0;9984.768827;571.0;4708.5;4580.0;8.2461
2;HYDROGEL_PACK;seller;Mark 38;146;586.0;9984.580205;-586.0;-4729.0;-4529.0;-8.07
2;HYDROGEL_PACK;buyer;Mark 38;165;658.0;9989.075988;658.0;-5216.5;-5525.0;-7.9278
2;HYDROGEL_PACK;seller;Mark 14;161;641.0;9989.179407;-641.0;5233.5;5503.0;8.1646
2;VELVETFRUIT_EXTRACT;seller;Mark 22;37;241.0;5260.327801;-241.0;-189.0;-138.5;-0.7842
2;VEV_5400;buyer;Mark 01;78;276.0;12.800725;276.0;164.0;179.0;0.5942
2;VEV_5400;seller;Mark 22;80;283.0;12.862191;-283.0;-161.5;-180.5;-0.5707
2;VEV_5500;buyer;Mark 01;91;324.0;4.768519;324.0;164.0;180.0;0.5062
2;VEV_5500;seller;Mark 22;94;335.0;4.797015;-335.0;-165.5;-185.5;-0.494
2;VEV_6000;buyer;Mark 01;95;337.0;0.0;337.0;168.5;168.5;0.5
2;VEV_6000;seller;Mark 22;95;337.0;0.0;-337.0;-168.5;-168.5;-0.5
2;VEV_6500;buyer;Mark 01;95;337.0;0.0;337.0;168.5;168.5;0.5
2;VEV_6500;seller;Mark 22;95;337.0;0.0;-337.0;-168.5;-168.5;-0.5
2;VELVETFRUIT_EXTRACT;seller;Mark 01;92;528.0;5259.846591;-528.0;1405.5;1220.5;2.6619
2;VELVETFRUIT_EXTRACT;buyer;Mark 14;92;542.0;5254.416974;542.0;1189.5;1097.0;2.1946
2;VEV_5300;buyer;Mark 01;31;107.0;43.429907;107.0;105.5;125.0;0.986
2;VEV_5300;seller;Mark 22;45;162.0;43.222222;-162.0;-104.5;-135.0;-0.6451
2;VEV_5400;buyer;Mark 14;2;7.0;15.285714;7.0;-2.5;1.5;-0.3571
2;HYDROGEL_PACK;buyer;Mark 22;4;15.0;9977.4;15.0;20.5;-51.0;1.3667
2;VEV_5300;buyer;Mark 14;14;55.0;42.818182;55.0;-1.0;10.0;-0.0182
2;HYDROGEL_PACK;seller;Mark 22;4;17.0;9985.176471;-17.0;-17.0;22.0;-1.0
2;VELVETFRUIT_EXTRACT;buyer;Mark 49;6;40.0;5255.875;40.0;-15.5;87.5;-0.3875
2;VEV_5500;buyer;Mark 14;3;11.0;5.636364;11.0;1.5;5.5;0.1364
2;VEV_5200;buyer;Mark 14;8;26.0;82.692308;26.0;27.0;95.0;1.0385
2;VEV_5200;seller;Mark 22;8;26.0;82.692308;-26.0;-27.0;-95.0;-1.0385
3;VEV_4000;buyer;Mark 14;77;141.0;1229.205674;141.0;1493.5;1512.0;10.5922
3;VEV_4000;seller;Mark 38;78;144.0;1229.138889;-144.0;-1505.5;-1531.5;-10.4549
3;HYDROGEL_PACK;buyer;Mark 38;161;662.0;10009.345921;662.0;-5190.0;-5412.5;-7.8399
3;HYDROGEL_PACK;seller;Mark 14;159;654.0;10009.230887;-654.0;5207.0;5443.5;7.9618
3;HYDROGEL_PACK;buyer;Mark 14;171;689.0;9996.615385;689.0;5240.0;4744.5;7.6052
3;HYDROGEL_PACK;seller;Mark 38;175;705.0;9996.770213;-705.0;-5251.0;-4778.5;-7.4482
3;VEV_4000;buyer;Mark 38;72;143.0;1249.265734;143.0;-1387.5;-1405.5;-9.7028
3;VEV_4000;seller;Mark 14;71;141.0;1249.411348;-141.0;1388.5;1394.5;9.8475
3;VELVETFRUIT_EXTRACT;buyer;Mark 55;194;1053.0;5239.728395;1053.0;-2272.0;-2071.5;-2.1576
3;VELVETFRUIT_EXTRACT;seller;Mark 14;116;623.0;5239.364366;-623.0;1326.0;1324.0;2.1284
3;VELVETFRUIT_EXTRACT;seller;Mark 01;71;389.0;5239.809769;-389.0;960.5;832.0;2.4692
3;VELVETFRUIT_EXTRACT;buyer;Mark 01;93;486.0;5236.952675;486.0;1443.5;1416.5;2.9702
3;VELVETFRUIT_EXTRACT;seller;Mark 55;209;1100.0;5235.653636;-1100.0;-2893.5;-2678.5;-2.6305
3;VELVETFRUIT_EXTRACT;buyer;Mark 14;110;589.0;5234.994907;589.0;1420.5;1163.5;2.4117
3;VELVETFRUIT_EXTRACT;buyer;Mark 67;46;424.0;5240.40566;424.0;496.5;451.5;1.171
3;VELVETFRUIT_EXTRACT;seller;Mark 22;24;182.0;5237.164835;-182.0;-48.5;-78.5;-0.2665
3;VEV_5300;buyer;Mark 01;69;222.0;29.333333;222.0;157.5;202.5;0.7095
3;VEV_5300;seller;Mark 22;79;253.0;29.55336;-253.0;-170.5;-228.0;-0.6739
3;VEV_5400;buyer;Mark 01;109;368.0;7.548913;368.0;202.5;240.0;0.5503
3;VEV_5400;seller;Mark 22;115;390.0;7.638462;-390.0;-206.0;-247.0;-0.5282
3;VEV_5500;buyer;Mark 01;119;408.0;1.634804;408.0;205.5;233.5;0.5037
3;VEV_5500;seller;Mark 22;120;413.0;1.627119;-413.0;-203.0;-231.0;-0.4915
3;VEV_6000;buyer;Mark 01;124;423.0;0.0;423.0;211.5;211.5;0.5
3;VEV_6000;seller;Mark 22;124;423.0;0.0;-423.0;-211.5;-211.5;-0.5
3;VEV_6500;buyer;Mark 01;124;423.0;0.0;423.0;211.5;211.5;0.5
3;VEV_6500;seller;Mark 22;124;423.0;0.0;-423.0;-211.5;-211.5;-0.5
3;VEV_5400;buyer;Mark 14;6;22.0;9.136364;22.0;3.5;7.0;0.1591
3;HYDROGEL_PACK;buyer;Mark 22;4;16.0;10003.4375;16.0;11.0;34.0;0.6875
3;VELVETFRUIT_EXTRACT;seller;Mark 49;34;329.0;5242.699088;-329.0;-430.0;-374.5;-1.307
3;VEV_5200;buyer;Mark 14;19;75.0;74.066667;75.0;50.5;43.0;0.6733
3;VEV_5200;seller;Mark 22;31;111.0;71.513514;-111.0;-87.0;-111.0;-0.7838
3;VELVETFRUIT_EXTRACT;buyer;Mark 49;5;37.0;5235.324324;37.0;-66.5;-129.5;-1.7973
3;VEV_5200;buyer;Mark 01;11;34.0;65.441176;34.0;36.5;75.0;1.0735
3;VEV_5300;buyer;Mark 14;10;31.0;31.129032;31.0;13.0;25.5;0.4194
3;VEV_4000;seller;Mark 22;1;2.0;1239.0;-2.0;-1.0;11.0;-0.5
3;VEV_4500;buyer;Mark 38;1;2.0;739.0;2.0;0.0;-10.0;0.0
3;VEV_4500;seller;Mark 22;1;2.0;739.0;-2.0;0.0;10.0;0.0
3;VEV_5000;buyer;Mark 38;1;2.0;242.0;2.0;0.0;-10.0;0.0
3;VEV_5000;seller;Mark 22;1;2.0;242.0;-2.0;0.0;10.0;0.0
3;VEV_5100;buyer;Mark 38;1;2.0;151.0;2.0;0.0;-8.0;0.0
3;VEV_5100;seller;Mark 22;1;2.0;151.0;-2.0;0.0;8.0;0.0
3;VEV_5200;buyer;Mark 38;1;2.0;79.0;2.0;0.0;-7.0;0.0
3;HYDROGEL_PACK;seller;Mark 22;2;8.0;10018.75;-8.0;-17.0;-31.0;-2.125
3;VELVETFRUIT_EXTRACT;buyer;Mark 22;6;34.0;5235.205882;34.0;63.5;145.0;1.8676
3;VEV_4000;buyer;Mark 22;1;3.0;1226.0;3.0;12.0;19.5;4.0
3;VEV_4500;buyer;Mark 22;1;3.0;726.0;3.0;12.0;21.0;4.0
3;VEV_4500;seller;Mark 38;1;3.0;726.0;-3.0;-12.0;-21.0;-4.0
3;VEV_5000;buyer;Mark 22;1;3.0;229.0;3.0;12.0;21.0;4.0
3;VEV_5000;seller;Mark 38;1;3.0;229.0;-3.0;-12.0;-21.0;-4.0
3;VEV_5100;buyer;Mark 22;1;3.0;139.0;3.0;12.0;18.0;4.0
3;VEV_5100;seller;Mark 38;1;3.0;139.0;-3.0;-12.0;-18.0;-4.0
3;VEV_5200;buyer;Mark 22;1;3.0;69.0;3.0;9.0;13.5;3.0
3;VEV_5200;seller;Mark 38;1;3.0;69.0;-3.0;-9.0;-13.5;-3.0
3;VEV_5300;buyer;Mark 22;1;3.0;28.0;3.0;3.0;6.0;1.0
3;VEV_5300;seller;Mark 38;1;3.0;28.0;-3.0;-3.0;-6.0;-1.0
3;VEV_5500;buyer;Mark 14;1;5.0;1.0;5.0;-2.5;-2.5;-0.5
