count,recoverable_total,recoverable_max,actual_action,exact_best_family,spread,position_band,richness_bucket,pressure_bucket,shock_bucket,hosted_ref_class,hosted_count,hosted_qty,hosted_markout_h10_avg,hosted_veto,mode,recoverable_avg
10,55.0,10.0,passive_one_sided_buy,take1,9,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,queue05,5.5
6,54.0,24.0,passive_one_sided_sell,take1,10,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,9.0
2,51.0,36.0,passive_two_sided,take1,10,long_60_plus,cheap,sell_pressure,steady,,,,,False,default,25.5
3,51.0,32.0,passive_two_sided,take1,10,long_60_plus,cheap,sell_pressure,shock,,,,,False,queue05,17.0
5,51.0,30.0,passive_one_sided_sell,take1,13,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,10.2
6,51.0,15.0,passive_one_sided_buy,take1,9,long_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,default,8.5
6,51.0,12.0,passive_one_sided_buy,take1,9,long_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,queue05,8.5
8,50.0,15.0,passive_one_sided_buy,take1,9,short_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,queue05,6.25
4,49.0,25.0,passive_one_sided_sell,take1,13,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,12.25
4,48.0,25.0,passive_one_sided_sell,take1,13,short_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,12.0
1,47.0,47.0,passive_one_sided_sell,take2,13,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,worse,47.0
2,47.0,27.0,passive_one_sided_sell,take1,9,short_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,default,23.5
2,47.0,27.0,passive_one_sided_sell,take1,9,short_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,worse,23.5
3,47.0,20.0,passive_one_sided_buy,take1,10,short_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,none,15.666666666666666
5,47.0,25.0,passive_one_sided_sell,take1,13,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,9.4
4,46.0,26.0,passive_two_sided,take1,10,long_60_plus,cheap,sell_pressure,shock,,,,,False,default,11.5
5,45.0,16.0,passive_one_sided_buy,take1,10,short_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,none,9.0
7,44.0,15.0,passive_one_sided_sell,take1,10,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,6.285714285714286
2,43.0,26.0,passive_two_sided,take1,10,long_60_plus,cheap,sell_pressure,shock,,,,,False,worse,21.5
3,41.0,25.0,passive_one_sided_sell,take1,13,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,default,13.666666666666666
3,41.0,25.0,passive_one_sided_sell,take1,13,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,worse,13.666666666666666
1,40.0,40.0,passive_one_sided_sell,take1,9,short_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,40.0
1,40.0,40.0,passive_one_sided_sell,take1,11,long_60_plus,cheap,mixed_pressure,shock,passive_inside_sell,,,,False,none,40.0
3,40.0,23.0,passive_one_sided_sell,take1,13,long_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,default,13.333333333333334
3,40.0,23.0,passive_one_sided_sell,take1,13,long_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,worse,13.333333333333334
4,40.0,20.0,passive_one_sided_buy,take1,10,long_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,default,10.0
4,40.0,15.0,passive_one_sided_buy,take1,10,short_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,queue05,10.0
4,40.0,20.0,passive_one_sided_buy,take1,10,long_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,worse,10.0
1,39.0,39.0,passive_one_sided_sell,take1,9,short_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,39.0
1,38.0,38.0,passive_two_sided,take1,9,short_60_plus,neutral,buy_pressure,shock,,,,,False,default,38.0
1,38.0,38.0,passive_two_sided,take1,9,short_60_plus,neutral,buy_pressure,shock,,,,,False,worse,38.0
4,38.0,15.0,passive_one_sided_buy,take1,9,long_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,none,9.5
7,38.0,11.0,passive_one_sided_sell,take1,13,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,worse,5.428571428571429
4,37.0,14.0,passive_one_sided_sell,take1,11,flat_19,rich,sell_pressure,steady,passive_inside_sell,,,,False,none,9.25
6,37.0,10.0,passive_one_sided_buy,take1,9,long_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,worse,6.166666666666667
7,37.0,10.0,passive_one_sided_sell,take1,13,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,default,5.285714285714286
1,36.0,36.0,passive_one_sided_sell,take2,11,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,default,36.0
1,36.0,36.0,passive_one_sided_sell,take2,11,long_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,36.0
1,36.0,36.0,passive_one_sided_sell,take2,11,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,36.0
1,36.0,36.0,passive_one_sided_sell,take2,11,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,worse,36.0
2,36.0,21.0,passive_two_sided,take1,12,short_60_plus,neutral,buy_pressure,shock,,,,,False,default,18.0
2,36.0,21.0,passive_two_sided,take1,12,short_60_plus,neutral,buy_pressure,shock,,,,,False,worse,18.0
2,35.0,25.0,passive_one_sided_buy,take1,10,flat_19,rich,mixed_pressure,shock,passive_inside_buy,,,,False,none,17.5
2,35.0,19.0,passive_two_sided,take1,10,short_60_plus,rich,buy_pressure,steady,,,,,False,worse,17.5
6,35.0,10.0,passive_one_sided_buy,take1,9,short_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,none,5.833333333333333
1,34.0,34.0,passive_two_sided,take1,9,short_60_plus,neutral,mixed_pressure,shock,,,,,False,default,34.0
1,34.0,34.0,passive_two_sided,take1,9,short_60_plus,neutral,mixed_pressure,shock,,,,,False,worse,34.0
2,33.0,17.0,passive_two_sided,take1,10,short_60_plus,rich,buy_pressure,steady,,,,,False,default,16.5
6,33.0,10.0,passive_one_sided_sell,take1,11,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,5.5
2,31.5,29.0,passive_one_sided_sell,take1,10,long_60_plus,cheap,sell_pressure,shock,passive_inside_sell,,,,False,worse,15.75
1,31.0,31.0,passive_one_sided_sell,take1,11,long_60_plus,cheap,sell_pressure,steady,passive_inside_sell,,,,False,queue05,31.0
4,31.0,16.0,passive_one_sided_sell,take1,11,flat_19,rich,sell_pressure,steady,passive_inside_sell,,,,False,queue05,7.75
1,30.0,30.0,passive_one_sided_sell,take1,9,short_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,default,30.0
1,30.0,30.0,passive_one_sided_sell,take1,9,short_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,worse,30.0
2,30.0,18.0,passive_one_sided_buy,take1,9,short_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,queue05,15.0
3,30.0,12.0,passive_one_sided_sell,take1,11,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,worse,10.0
1,29.0,29.0,passive_one_sided_sell,take1,10,long_60_plus,cheap,sell_pressure,steady,passive_inside_sell,,,,False,default,29.0
2,29.0,26.0,passive_one_sided_sell,take1,11,long_60_plus,rich,sell_pressure,steady,passive_inside_sell,,,,False,default,14.5
2,29.0,18.0,passive_one_sided_sell,take1,11,long_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,14.5
2,29.0,26.0,passive_one_sided_sell,take1,11,long_60_plus,rich,sell_pressure,steady,passive_inside_sell,,,,False,worse,14.5
3,29.0,12.0,passive_one_sided_sell,take1,11,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,default,9.666666666666666
3,29.0,12.0,passive_one_sided_sell,take1,11,long_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,worse,9.666666666666666
5,29.0,10.0,passive_one_sided_sell,take1,10,short_20_39,rich,sell_pressure,steady,passive_inside_sell,,,,False,none,5.8
5,28.0,15.0,passive_one_sided_sell,take1,10,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,5.6
1,27.0,27.0,passive_one_sided_sell,take1,10,long_60_plus,cheap,sell_pressure,steady,passive_inside_sell,,,,False,worse,27.0
3,27.0,12.0,passive_one_sided_sell,take1,11,long_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,default,9.0
3,27.0,18.0,passive_one_sided_buy,take1,12,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,queue05,9.0
2,26.0,18.0,passive_one_sided_sell,take1,11,long_60_plus,rich,sell_pressure,steady,passive_inside_sell,,,,False,queue05,13.0
2,24.0,16.0,passive_one_sided_sell,take1,11,long_60_plus,rich,sell_pressure,steady,passive_inside_sell,,,,False,none,12.0
1,23.0,23.0,passive_one_sided_sell,take1,10,long_60_plus,cheap,sell_pressure,steady,passive_inside_sell,,,,False,none,23.0
1,22.0,22.0,passive_two_sided,take1,10,short_60_plus,neutral,buy_pressure,steady,,,,,False,default,22.0
1,22.0,22.0,passive_one_sided_sell,take1,11,long_60_plus,neutral,sell_pressure,shock,passive_inside_sell,,,,False,default,22.0
1,22.0,22.0,passive_one_sided_sell,take1,11,long_60_plus,neutral,sell_pressure,shock,passive_inside_sell,,,,False,worse,22.0
2,22.0,12.0,passive_one_sided_buy,take1,12,long_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,default,11.0
2,22.0,18.0,passive_one_sided_buy,take1,12,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,default,11.0
2,22.0,18.0,passive_one_sided_buy,take1,12,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,none,11.0
2,22.0,12.0,passive_one_sided_buy,take1,11,flat_19,rich,mixed_pressure,shock,passive_inside_buy,,,,False,none,11.0
2,22.0,12.0,passive_one_sided_buy,take1,12,long_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,worse,11.0
2,22.0,18.0,passive_one_sided_buy,take1,12,flat_19,cheap,buy_pressure,shock,passive_inside_buy,,,,False,worse,11.0
4,22.0,12.0,passive_one_sided_buy,take1,10,long_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,none,5.5
5,22.0,6.0,passive_one_sided_sell,take1,11,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,default,4.4
6,22.0,6.0,passive_one_sided_sell,take1,10,short_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,3.6666666666666665
2,21.5,19.0,passive_one_sided_sell,take1,10,long_60_plus,cheap,sell_pressure,shock,passive_inside_sell,,,,False,default,10.75
1,21.0,21.0,passive_one_sided_buy,take1,12,short_60_plus,neutral,buy_pressure,shock,passive_inside_buy,,,,False,default,21.0
1,21.0,21.0,take_sell,hold,9,short_40_59,rich,sell_pressure,shock,take_b1,,,,False,queue05,21.0
1,21.0,21.0,passive_one_sided_buy,take1,12,short_60_plus,neutral,buy_pressure,shock,passive_inside_buy,,,,False,worse,21.0
2,21.0,12.0,passive_one_sided_buy,take1,12,long_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,queue05,10.5
3,21.0,12.0,passive_one_sided_buy,take1,12,short_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,none,7.0
5,21.0,6.0,passive_one_sided_sell,take1,11,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,worse,4.2
2,20.0,16.0,passive_one_sided_buy,take1,12,short_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,default,10.0
2,20.0,16.0,passive_one_sided_buy,take1,12,long_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,default,10.0
2,20.0,15.0,passive_one_sided_buy,take1,10,flat_19,rich,mixed_pressure,shock,passive_inside_buy,,,,False,queue05,10.0
2,20.0,16.0,passive_one_sided_buy,take1,12,long_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,worse,10.0
4,20.0,9.0,passive_one_sided_buy,take1,9,long_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,none,5.0
5,20.0,10.0,passive_two_sided,take1,11,long_60_plus,neutral,sell_pressure,steady,,,,,False,queue05,4.0
1,19.0,19.0,passive_two_sided,take1,13,long_40_59,neutral,sell_pressure,shock,,,,,False,default,19.0
1,19.0,19.0,passive_one_sided_sell,take1,13,long_60_plus,rich,sell_pressure,steady,passive_inside_sell,,,,False,default,19.0
1,19.0,19.0,passive_two_sided,take1,13,long_40_59,neutral,sell_pressure,shock,,,,,False,worse,19.0
1,19.0,19.0,passive_one_sided_sell,take1,13,long_60_plus,rich,sell_pressure,steady,passive_inside_sell,,,,False,worse,19.0
5,19.0,9.0,passive_one_sided_buy,take1,10,short_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,default,3.8
1,18.5,18.5,passive_two_sided,take1,10,long_40_59,neutral,sell_pressure,steady,,,,,False,default,18.5
1,18.5,18.5,passive_one_sided_sell,take1,11,long_40_59,neutral,sell_pressure,steady,passive_inside_sell,,,,False,worse,18.5
2,18.0,16.0,passive_one_sided_sell,take1,11,flat_19,rich,sell_pressure,steady,passive_inside_sell,,,,False,default,9.0
2,18.0,15.0,passive_one_sided_sell,take1,10,long_40_59,neutral,sell_pressure,steady,passive_inside_sell,,,,False,queue05,9.0
2,18.0,16.0,passive_one_sided_sell,take1,11,flat_19,rich,sell_pressure,steady,passive_inside_sell,,,,False,worse,9.0
3,18.0,15.0,passive_one_sided_sell,take1,10,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,default,6.0
3,18.0,7.0,passive_two_sided,take1,11,long_60_plus,neutral,sell_pressure,steady,,,,,False,none,6.0
5,18.0,6.0,passive_one_sided_buy,take1,10,short_20_39,cheap,buy_pressure,steady,passive_inside_buy,,,,False,none,3.6
4,17.5,10.0,passive_one_sided_buy,take1,9,long_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,default,4.375
1,17.0,17.0,passive_one_sided_buy,take1,12,long_60_plus,cheap,buy_pressure,shock,passive_inside_buy,,,,False,queue05,17.0
2,17.0,15.0,passive_two_sided,take1,10,short_60_plus,neutral,buy_pressure,steady,,,,,False,worse,8.5
2,17.0,15.0,passive_one_sided_sell,take1,10,flat_19,rich,sell_pressure,shock,passive_inside_sell,,,,False,worse,8.5
1,16.5,16.5,passive_two_sided,take1,10,long_60_plus,cheap,mixed_pressure,shock,,,,,False,default,16.5
1,16.0,16.0,passive_one_sided_sell,take1,10,short_40_59,cheap,buy_pressure,shock,passive_inside_sell,,,,False,default,16.0
1,16.0,16.0,passive_two_sided,take1,11,long_60_plus,cheap,sell_pressure,shock,,,,,False,default,16.0
1,16.0,16.0,passive_one_sided_sell,take1,13,short_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,16.0
1,16.0,16.0,passive_one_sided_sell,take1,9,long_60_plus,cheap,sell_pressure,shock,passive_inside_sell,,,,False,none,16.0
1,16.0,16.0,passive_one_sided_sell,take1,10,short_40_59,cheap,buy_pressure,shock,passive_inside_sell,,,,False,worse,16.0
1,16.0,16.0,passive_two_sided,take1,11,long_60_plus,cheap,sell_pressure,shock,,,,,False,worse,16.0
2,16.0,12.0,passive_one_sided_buy,take1,9,short_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,none,8.0
3,16.0,10.0,passive_two_sided,take1,10,short_40_59,rich,sell_pressure,shock,,,,,False,queue05,5.333333333333333
3,15.5,10.0,passive_one_sided_buy,take1,9,long_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,worse,5.166666666666667
1,15.0,15.0,passive_one_sided_buy,take1,11,long_20_39,rich,mixed_pressure,shock,passive_inside_buy,,,,False,default,15.0
1,15.0,15.0,passive_two_sided,take1,10,long_20_39,neutral,sell_pressure,steady,,,,,False,default,15.0
1,15.0,15.0,passive_one_sided_buy,take1,11,long_20_39,rich,mixed_pressure,shock,passive_inside_buy,,,,False,queue05,15.0
1,15.0,15.0,passive_two_sided,take1,10,long_20_39,neutral,sell_pressure,steady,,,,,False,queue05,15.0
1,15.0,15.0,passive_one_sided_buy,take1,11,flat_19,rich,mixed_pressure,shock,passive_inside_buy,,,,False,worse,15.0
1,15.0,15.0,passive_one_sided_buy,take1,11,long_20_39,rich,mixed_pressure,shock,passive_inside_buy,,,,False,worse,15.0
1,15.0,15.0,passive_two_sided,take1,10,long_20_39,neutral,sell_pressure,steady,,,,,False,worse,15.0
3,15.0,7.0,passive_one_sided_sell,take1,10,short_20_39,rich,sell_pressure,steady,passive_inside_sell,,,,False,queue05,5.0
3,15.0,6.0,passive_one_sided_sell,take1,13,long_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,5.0
4,15.0,6.0,passive_one_sided_sell,take1,11,short_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,3.75
4,15.0,6.0,passive_one_sided_buy,take1,10,short_20_39,cheap,buy_pressure,steady,passive_inside_buy,,,,False,queue05,3.75
4,15.0,4.0,passive_one_sided_buy,take1,10,short_20_39,cheap,buy_pressure,steady,passive_inside_buy,,,,False,worse,3.75
5,15.0,4.0,passive_one_sided_sell,take1,11,short_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,3.0
6,15.0,4.0,passive_one_sided_buy,take1,10,short_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,worse,2.5
1,14.0,14.0,passive_one_sided_sell,take1,11,long_60_plus,cheap,sell_pressure,steady,passive_inside_sell,,,,False,default,14.0
1,14.0,14.0,passive_one_sided_sell,take1,11,long_40_59,neutral,sell_pressure,steady,passive_inside_sell,,,,False,default,14.0
1,14.0,14.0,passive_one_sided_sell,take1,11,long_60_plus,cheap,sell_pressure,steady,passive_inside_sell,,,,False,worse,14.0
2,14.0,11.0,passive_one_sided_sell,take1,11,long_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,7.0
2,14.0,9.0,passive_two_sided,take1,10,long_60_plus,cheap,sell_pressure,steady,,,,,False,worse,7.0
3,14.0,10.0,passive_two_sided,take1,11,long_60_plus,neutral,sell_pressure,steady,,,,,False,default,4.666666666666667
3,14.0,6.0,passive_two_sided,take1,10,short_60_plus,rich,sell_pressure,shock,,,,,False,none,4.666666666666667
3,14.0,6.0,passive_one_sided_sell,take1,10,long_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,4.666666666666667
3,14.0,10.0,passive_two_sided,take1,11,long_60_plus,neutral,sell_pressure,steady,,,,,False,worse,4.666666666666667
1,13.0,13.0,passive_one_sided_buy,take1,9,short_60_plus,rich,buy_pressure,shock,passive_inside_buy,,,,False,default,13.0
1,13.0,13.0,passive_one_sided_buy,take1,11,flat_19,rich,mixed_pressure,shock,passive_inside_buy,,,,False,default,13.0
1,13.0,13.0,passive_one_sided_sell,take1,11,long_20_39,rich,sell_pressure,steady,passive_inside_sell,,,,False,worse,13.0
1,13.0,13.0,clear_sell,take2,13,long_40_59,rich,sell_pressure,shock,take_b1,,,,False,worse,13.0
2,13.0,10.0,passive_one_sided_sell,take1,10,short_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,default,6.5
2,13.0,10.0,passive_one_sided_sell,take1,10,short_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,worse,6.5
3,13.0,6.0,passive_one_sided_buy,take1,10,flat_19,cheap,buy_pressure,steady,passive_inside_buy,,,,False,default,4.333333333333333
1,12.0,12.0,passive_one_sided_buy,take1,9,short_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,default,12.0
1,12.0,12.0,passive_one_sided_sell,take1,9,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,default,12.0
1,12.0,12.0,passive_one_sided_sell,take1,11,long_20_39,rich,sell_pressure,steady,passive_inside_sell,,,,False,default,12.0
1,12.0,12.0,passive_two_sided,take1,9,long_60_plus,neutral,sell_pressure,shock,,,,,False,default,12.0
1,12.0,12.0,passive_two_sided,take1,13,long_60_plus,neutral,sell_pressure,shock,,,,,False,default,12.0
1,12.0,12.0,passive_one_sided_buy,take1,12,long_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,none,12.0
1,12.0,12.0,passive_one_sided_buy,take1,9,short_40_59,cheap,buy_pressure,steady,passive_inside_buy,,,,False,none,12.0
1,12.0,12.0,passive_one_sided_sell,take1,11,long_60_plus,neutral,sell_pressure,steady,passive_inside_sell,,,,False,none,12.0
1,12.0,12.0,passive_one_sided_sell,take1,13,long_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,none,12.0
1,12.0,12.0,passive_one_sided_buy,take1,9,short_40_59,cheap,buy_pressure,steady,passive_inside_buy,,,,False,queue05,12.0
1,12.0,12.0,passive_one_sided_buy,take1,11,flat_19,rich,mixed_pressure,shock,passive_inside_buy,,,,False,queue05,12.0
1,12.0,12.0,passive_one_sided_sell,take1,11,long_20_39,rich,sell_pressure,steady,passive_inside_sell,,,,False,queue05,12.0
1,12.0,12.0,passive_one_sided_buy,take1,9,short_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,worse,12.0
1,12.0,12.0,passive_one_sided_sell,take1,9,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,worse,12.0
1,12.0,12.0,passive_two_sided,take1,9,long_60_plus,neutral,sell_pressure,shock,,,,,False,worse,12.0
1,12.0,12.0,passive_two_sided,take1,13,long_60_plus,neutral,sell_pressure,shock,,,,,False,worse,12.0
2,12.0,6.0,passive_one_sided_buy,take1,12,short_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,none,6.0
2,12.0,8.0,passive_one_sided_buy,take1,10,flat_19,cheap,buy_pressure,steady,passive_inside_buy,,,,False,worse,6.0
2,12.0,10.0,passive_one_sided_buy,take1,10,flat_19,rich,mixed_pressure,shock,passive_inside_buy,,,,False,worse,6.0
3,12.0,5.0,passive_one_sided_buy,take1,12,short_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,default,4.0
3,12.0,5.0,passive_one_sided_buy,take1,12,short_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,worse,4.0
3,12.0,6.0,passive_one_sided_sell,take1,10,long_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,worse,4.0
1,11.0,11.0,passive_two_sided,take1,9,long_40_59,neutral,buy_pressure,shock,,,,,False,default,11.0
1,11.0,11.0,passive_two_sided,take1,9,long_20_39,neutral,buy_pressure,shock,,,,,False,none,11.0
1,11.0,11.0,passive_two_sided,take1,9,short_60_plus,neutral,buy_pressure,shock,,,,,False,queue05,11.0
1,11.0,11.0,passive_one_sided_sell,take1,10,long_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,queue05,11.0
1,11.0,11.0,passive_two_sided,take1,9,long_40_59,neutral,buy_pressure,shock,,,,,False,queue05,11.0
1,11.0,11.0,passive_one_sided_buy,take1,9,short_60_plus,rich,buy_pressure,shock,passive_inside_buy,,,,False,worse,11.0
1,11.0,11.0,passive_two_sided,take1,9,long_40_59,neutral,buy_pressure,shock,,,,,False,worse,11.0
2,11.0,8.0,passive_one_sided_buy,take1,12,short_20_39,cheap,buy_pressure,shock,passive_inside_buy,,,,False,queue05,5.5
3,11.0,6.0,passive_one_sided_sell,take1,10,long_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,default,3.6666666666666665
1,10.5,10.5,passive_two_sided,take1,10,long_40_59,neutral,sell_pressure,steady,,,,,False,worse,10.5
