count,recoverable_total,recoverable_max,actual_action,exact_best_family,spread,position_band,richness_bucket,pressure_bucket,shock_bucket,hosted_ref_class,hosted_count,hosted_qty,hosted_markout_h10_avg,hosted_veto,recoverable_avg
2,25.0,13.0,passive_one_sided_sell,take1,11,long_20_39,rich,sell_pressure,steady,passive_inside_sell,,,,False,12.5
3,25.0,16.0,passive_one_sided_buy,take1,12,long_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,8.333333333333334
2,24.0,12.0,passive_one_sided_buy,take1,9,short_40_59,cheap,buy_pressure,steady,passive_inside_buy,,,,False,12.0
5,24.0,8.0,passive_one_sided_buy,take1,10,flat_19,cheap,buy_pressure,steady,passive_inside_buy,,,,False,4.8
6,24.0,6.0,clear_buy,hold,9,short_60_plus,cheap,buy_pressure,shock,take_a1,,,,False,4.0
2,22.0,11.0,passive_two_sided,take1,9,long_40_59,neutral,buy_pressure,shock,,,,,False,11.0
3,22.0,11.0,passive_one_sided_sell,take1,10,long_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,7.333333333333333
1,21.0,21.0,passive_one_sided_buy,take1,12,short_60_plus,neutral,buy_pressure,shock,passive_inside_buy,,,,False,21.0
2,21.0,17.0,passive_one_sided_buy,take1,12,long_60_plus,cheap,buy_pressure,shock,passive_inside_buy,,,,False,10.5
3,21.0,15.0,passive_one_sided_sell,take1,10,long_40_59,neutral,sell_pressure,steady,passive_inside_sell,,,,False,7.0
4,21.0,8.0,passive_one_sided_sell,take1,10,long_20_39,neutral,sell_pressure,steady,passive_inside_sell,,,,False,5.25
2,20.0,12.0,passive_one_sided_sell,take1,11,long_60_plus,neutral,sell_pressure,steady,passive_inside_sell,,,,False,10.0
2,20.0,11.0,passive_one_sided_buy,take1,9,short_60_plus,rich,buy_pressure,shock,passive_inside_buy,,,,False,10.0
2,20.0,12.0,passive_one_sided_sell,take1,9,long_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,10.0
2,20.0,10.0,passive_one_sided_buy,take1,10,long_40_59,rich,mixed_pressure,shock,passive_inside_buy,,,,False,10.0
4,20.0,6.0,passive_one_sided_buy,take1,12,short_40_59,cheap,buy_pressure,shock,passive_inside_buy,,,,False,5.0
4,20.0,15.0,passive_two_sided,take1,10,short_60_plus,neutral,buy_pressure,steady,,,,,False,5.0
5,20.0,6.0,passive_two_sided,take1,10,short_60_plus,rich,sell_pressure,shock,,,,,False,4.0
7,20.0,5.0,passive_one_sided_sell,take1,11,short_20_39,rich,sell_pressure,steady,passive_inside_sell,,,,False,2.857142857142857
1,19.0,19.0,passive_two_sided,take1,13,long_40_59,neutral,sell_pressure,shock,,,,,False,19.0
3,17.0,8.0,passive_one_sided_buy,take1,9,long_60_plus,cheap,buy_pressure,shock,passive_inside_buy,,,,False,5.666666666666667
1,16.0,16.0,passive_one_sided_sell,take1,13,short_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,16.0
1,16.0,16.0,passive_one_sided_sell,take1,10,short_40_59,cheap,buy_pressure,shock,passive_inside_sell,,,,False,16.0
1,16.0,16.0,passive_two_sided,take1,11,long_60_plus,cheap,sell_pressure,shock,,,,,False,16.0
2,16.0,8.0,passive_one_sided_sell,take1,10,long_20_39,rich,sell_pressure,steady,passive_inside_sell,,,,False,8.0
3,16.0,10.0,passive_one_sided_sell,take1,10,short_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,5.333333333333333
2,15.0,12.0,passive_two_sided,take1,13,long_60_plus,neutral,sell_pressure,shock,,,,,False,7.5
3,15.0,5.0,clear_buy,hold,10,short_60_plus,cheap,buy_pressure,shock,take_a1,,,,False,5.0
5,15.0,5.0,passive_one_sided_buy,take1,10,flat_19,rich,sell_pressure,steady,passive_inside_buy,,,,False,3.0
2,14.0,8.0,passive_one_sided_buy,take1,10,long_60_plus,cheap,buy_pressure,shock,passive_inside_buy,,,,False,7.0
5,14.0,3.0,passive_one_sided_buy,take1,10,long_60_plus,rich,sell_pressure,steady,passive_inside_buy,,,,False,2.8
1,13.0,13.0,clear_sell,take2,13,long_40_59,rich,sell_pressure,shock,take_b1,,,,False,13.0
2,13.0,7.0,passive_two_sided,take1,9,short_60_plus,rich,buy_pressure,shock,,,,,False,6.5
5,13.0,4.0,passive_two_sided,take1,10,long_60_plus,neutral,sell_pressure,shock,,,,,False,2.6
1,12.0,12.0,passive_two_sided,take1,9,long_60_plus,neutral,sell_pressure,shock,,,,,False,12.0
2,12.0,8.0,passive_one_sided_sell,take1,10,short_60_plus,cheap,buy_pressure,shock,passive_inside_sell,,,,False,6.0
3,12.0,6.0,passive_two_sided,take1,11,long_60_plus,neutral,sell_pressure,shock,,,,,False,4.0
1,11.0,11.0,passive_two_sided,take1,9,long_20_39,neutral,buy_pressure,shock,,,,,False,11.0
3,11.0,8.0,passive_two_sided,take1,11,short_60_plus,rich,sell_pressure,shock,,,,,False,3.6666666666666665
5,11.0,4.0,passive_one_sided_buy,take1,9,flat_19,cheap,buy_pressure,steady,passive_inside_buy,,,,False,2.2
1,10.5,10.5,passive_two_sided,take1,10,long_40_59,neutral,sell_pressure,steady,,,,,False,10.5
1,10.0,10.0,clear_sell,hold,10,long_40_59,rich,mixed_pressure,shock,take_b1,,,,False,10.0
1,10.0,10.0,passive_two_sided,take1,9,short_60_plus,rich,buy_pressure,steady,,,,,False,10.0
1,10.0,10.0,clear_sell,hold,10,long_60_plus,rich,mixed_pressure,shock,take_b1,,,,False,10.0
1,10.0,10.0,passive_one_sided_sell,take1,9,long_60_plus,cheap,mixed_pressure,shock,passive_inside_sell,,,,False,10.0
2,10.0,5.0,passive_one_sided_buy,take1,10,flat_19,rich,mixed_pressure,steady,passive_inside_buy,,,,False,5.0
2,10.0,5.0,hold,take1,10,flat_19,rich,sell_pressure,steady,,,,,False,5.0
2,10.0,6.0,passive_one_sided_sell,take1,10,flat_19,rich,sell_pressure,steady,passive_inside_sell,,,,False,5.0
2,10.0,8.0,passive_one_sided_sell,take1,11,long_40_59,rich,sell_pressure,steady,passive_inside_sell,,,,False,5.0
1,9.0,9.0,passive_two_sided,take1,9,long_40_59,neutral,sell_pressure,shock,,,,,False,9.0
1,9.0,9.0,clear_buy,hold,9,short_40_59,cheap,buy_pressure,steady,take_a1,,,,False,9.0
2,9.0,6.0,passive_two_sided,take1,10,long_60_plus,neutral,sell_pressure,steady,,,,,False,4.5
3,9.0,6.0,passive_one_sided_buy,take1,10,long_60_plus,rich,sell_pressure,shock,passive_inside_buy,,,,False,3.0
1,8.0,8.0,passive_two_sided,take1,10,flat_19,neutral,sell_pressure,steady,,,,,False,8.0
1,8.0,8.0,passive_one_sided_buy,take1,10,long_20_39,rich,mixed_pressure,shock,passive_inside_buy,,,,False,8.0
1,8.0,8.0,passive_one_sided_sell,take1,13,short_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,8.0
1,8.0,8.0,passive_one_sided_buy,take1,12,short_60_plus,cheap,buy_pressure,shock,passive_inside_buy,,,,False,8.0
1,8.0,8.0,passive_one_sided_sell,take1,9,long_20_39,rich,sell_pressure,shock,passive_inside_sell,,,,False,8.0
1,8.0,8.0,clear_sell,take2,11,long_40_59,rich,sell_pressure,shock,take_b1,,,,False,8.0
2,8.0,5.0,hold,take1,10,short_20_39,rich,sell_pressure,steady,,,,,False,4.0
1,7.0,7.0,passive_one_sided_sell,take1,11,short_40_59,rich,sell_pressure,shock,passive_inside_sell,,,,False,7.0
1,7.0,7.0,passive_two_sided,take1,13,short_60_plus,rich,sell_pressure,shock,,,,,False,7.0
1,6.0,6.0,passive_one_sided_sell,take1,11,long_20_39,neutral,sell_pressure,steady,passive_inside_sell,,,,False,6.0
1,6.0,6.0,passive_one_sided_sell,take1,9,long_40_59,neutral,sell_pressure,shock,passive_inside_sell,,,,False,6.0
1,6.0,6.0,clear_sell,take2,11,long_60_plus,rich,sell_pressure,shock,take_b1,,,,False,6.0
1,6.0,6.0,passive_one_sided_buy,take1,9,short_60_plus,rich,buy_pressure,steady,passive_inside_buy,,,,False,6.0
1,6.0,6.0,passive_one_sided_sell,take1,9,long_20_39,neutral,sell_pressure,shock,passive_inside_sell,,,,False,6.0
2,6.0,4.0,clear_sell,hold,10,long_60_plus,rich,sell_pressure,shock,take_b1,,,,False,3.0
2,6.0,4.0,passive_one_sided_buy,take1,9,short_20_39,cheap,buy_pressure,steady,passive_inside_buy,,,,False,3.0
3,6.0,3.0,passive_one_sided_buy,take1,12,short_60_plus,rich,buy_pressure,shock,passive_inside_buy,,,,False,2.0
3,6.0,2.0,clear_sell,hold,10,long_60_plus,rich,sell_pressure,steady,take_b1,,,,False,2.0
1,5.0,5.0,passive_one_sided_sell,take1,9,short_40_59,cheap,mixed_pressure,shock,passive_inside_sell,,,,False,5.0
1,5.0,5.0,passive_two_sided,take1,9,short_40_59,neutral,mixed_pressure,shock,,,,,False,5.0
1,5.0,5.0,passive_one_sided_sell,mm_inside,11,long_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,5.0
2,5.0,3.0,passive_two_sided,take1,11,short_40_59,rich,sell_pressure,shock,,,,,False,2.5
2,4.5,3.0,passive_one_sided_buy,take1,10,long_40_59,neutral,buy_pressure,steady,passive_inside_buy,,,,False,2.25
1,4.0,4.0,passive_two_sided,take1,9,short_40_59,neutral,buy_pressure,steady,,,,,False,4.0
1,4.0,4.0,passive_two_sided,take1,9,short_60_plus,neutral,buy_pressure,steady,,,,,False,4.0
1,4.0,4.0,passive_one_sided_sell,take1,10,long_60_plus,neutral,sell_pressure,shock,passive_inside_sell,,,,False,4.0
1,4.0,4.0,passive_one_sided_buy,take1,10,short_40_59,cheap,buy_pressure,steady,passive_inside_buy,,,,False,4.0
1,4.0,4.0,passive_one_sided_buy,take1,10,short_60_plus,cheap,buy_pressure,steady,passive_inside_buy,,,,False,4.0
1,4.0,4.0,passive_one_sided_sell,take1,10,short_40_59,rich,sell_pressure,steady,passive_inside_sell,,,,False,4.0
2,4.0,2.0,passive_one_sided_sell,take1,10,short_60_plus,rich,sell_pressure,steady,passive_inside_sell,,,,False,2.0
1,3.0,3.0,passive_two_sided,take1,10,short_60_plus,neutral,buy_pressure,shock,,,,,False,3.0
1,3.0,3.0,clear_buy,hold,12,short_40_59,cheap,buy_pressure,shock,take_a1,,,,False,3.0
1,3.0,3.0,passive_one_sided_buy,take1,10,short_60_plus,neutral,buy_pressure,shock,passive_inside_buy,,,,False,3.0
1,3.0,3.0,passive_one_sided_buy,take1,10,short_20_39,rich,mixed_pressure,steady,passive_inside_buy,,,,False,3.0
1,3.0,3.0,passive_one_sided_sell,take1,13,long_20_39,neutral,sell_pressure,shock,passive_inside_sell,,,,False,3.0
1,2.0,2.0,passive_one_sided_buy,take1,9,long_20_39,cheap,buy_pressure,steady,passive_inside_buy,,,,False,2.0
1,2.0,2.0,passive_one_sided_buy,take1,12,flat_19,cheap,buy_pressure,steady,passive_inside_buy,,,,False,2.0
1,2.0,2.0,passive_one_sided_sell,take1,11,short_60_plus,rich,sell_pressure,shock,passive_inside_sell,,,,False,2.0
1,2.0,2.0,passive_two_sided,take1,10,long_40_59,cheap,buy_pressure,shock,,,,,False,2.0
1,2.0,2.0,clear_sell,hold,11,long_60_plus,rich,sell_pressure,shock,take_b1,,,,False,2.0
1,2.0,2.0,clear_buy,hold,10,short_40_59,cheap,mixed_pressure,shock,take_a1,,,,False,2.0
1,2.0,2.0,passive_two_sided,take1,11,flat_19,neutral,sell_pressure,steady,,,,,False,2.0
1,2.0,2.0,passive_one_sided_buy,take1,10,flat_19,neutral,buy_pressure,shock,passive_inside_buy,,,,False,2.0
1,1.5,1.5,passive_one_sided_buy,take1,10,long_20_39,neutral,buy_pressure,steady,passive_inside_buy,,,,False,1.5
1,1.0,1.0,passive_one_sided_sell,take1,12,short_60_plus,cheap,buy_pressure,shock,passive_inside_sell,1,9,1.0,False,1.0
1,1.0,1.0,passive_one_sided_sell,take1,10,short_20_39,cheap,mixed_pressure,shock,passive_inside_sell,,,,False,1.0
1,1.0,1.0,passive_one_sided_sell,take1,10,long_60_plus,neutral,sell_pressure,steady,passive_inside_sell,,,,False,1.0
1,1.0,1.0,passive_two_sided,take1,10,long_60_plus,cheap,buy_pressure,shock,,,,,False,1.0
1,0.5,0.5,passive_two_sided,take1,13,long_60_plus,cheap,sell_pressure,shock,,,,,False,0.5
