counterparty;day;hour_bucket;n_trades;total_qty
Mark 67;1;4;1;10
Mark 67;1;5;7;60
Mark 67;1;6;5;43
Mark 67;1;7;2;20
Mark 67;1;8;10;88
Mark 67;1;9;6;56
Mark 67;2;0;4;32
Mark 67;2;1;8;79
Mark 67;2;2;4;44
Mark 67;2;3;6;53
Mark 67;2;4;6;57
Mark 67;2;5;3;26
Mark 67;2;6;7;52
Mark 67;2;7;9;88
Mark 67;2;8;5;60
Mark 67;2;9;9;76
Mark 67;3;0;5;38
Mark 67;3;1;5;43
Mark 67;3;2;6;62
Mark 67;3;3;3;26
Mark 67;3;4;4;42
Mark 67;3;5;3;23
Mark 67;3;6;4;41
Mark 67;3;7;8;83
Mark 67;3;8;3;11
Mark 67;3;9;5;55
