day;product;counterparty;side;n_trades;total_qty;mean_trade_price;signed_flow;horizon_pnl_500;horizon_pnl_2000
1;VEV_5300;Mark 14;buyer;6;19;48.5263;19;19.0;25.0
1;VEV_5300;Mark 22;seller;39;130;44.2077;-130;-97.5;-63.5
1;VEV_5300;Mark 38;buyer;1;1;41.0;1;0.0;2.0
1;VEV_5400;Mark 01;buyer;76;267;14.5693;267;169.0;190.5
1;VEV_5400;Mark 14;buyer;5;19;18.9474;19;1.0;-3.0
1;VEV_5400;Mark 22;seller;81;286;14.8601;-286;-170.0;-187.5
1;VEV_5500;Mark 01;buyer;89;310;5.9548;310;162.0;163.5
1;VEV_5500;Mark 14;buyer;3;11;7.0;11;5.5;-3.5
1;VEV_5500;Mark 22;seller;92;321;5.9907;-321;-167.5;-160.0
1;VEV_6000;Mark 01;buyer;98;345;0.0;345;172.5;172.5
1;VEV_6000;Mark 22;seller;98;345;0.0;-345;-172.5;-172.5
1;VEV_6500;Mark 01;buyer;98;345;0.0;345;172.5;172.5
1;VEV_6500;Mark 22;seller;98;345;0.0;-345;-172.5;-172.5
2;HYDROGEL_PACK;Mark 14;buyer;142;571;9984.7688;571;4708.5;4580.0
2;HYDROGEL_PACK;Mark 14;seller;161;641;9989.1794;-641;5233.5;5503.0
2;HYDROGEL_PACK;Mark 22;buyer;4;15;9977.4;15;20.5;-51.0
2;HYDROGEL_PACK;Mark 22;seller;4;17;9985.1765;-17;-17.0;22.0
2;HYDROGEL_PACK;Mark 38;buyer;165;658;9989.076;658;-5216.5;-5525.0
2;HYDROGEL_PACK;Mark 38;seller;146;586;9984.5802;-586;-4729.0;-4529.0
2;VELVETFRUIT_EXTRACT;Mark 01;buyer;91;505;5255.6119;505;1249.0;938.5
2;VELVETFRUIT_EXTRACT;Mark 01;seller;92;528;5259.8466;-528;1405.5;1220.5
2;VELVETFRUIT_EXTRACT;Mark 14;buyer;92;542;5254.417;542;1189.5;1097.0
2;VELVETFRUIT_EXTRACT;Mark 14;seller;118;627;5260.1021;-627;1349.5;1317.0
2;VELVETFRUIT_EXTRACT;Mark 22;buyer;9;51;5259.4902;51;-12.0;83.0
2;VELVETFRUIT_EXTRACT;Mark 22;seller;37;241;5260.3278;-241;-189.0;-138.5
2;VELVETFRUIT_EXTRACT;Mark 49;buyer;6;40;5255.875;40;-15.5;87.5
2;VELVETFRUIT_EXTRACT;Mark 49;seller;37;400;5256.43;-400;-387.5;-433.5
2;VELVETFRUIT_EXTRACT;Mark 55;buyer;218;1190;5260.0429;1190;-2728.5;-2519.0
2;VELVETFRUIT_EXTRACT;Mark 55;seller;193;1099;5254.8371;-1099;-2406.0;-2098.0
2;VELVETFRUIT_EXTRACT;Mark 67;buyer;61;567;5257.0758;567;545.0;445.5
2;VEV_4000;Mark 14;buyer;64;132;1245.7197;132;1312.0;1250.0
2;VEV_4000;Mark 14;seller;64;124;1264.2581;-124;1253.0;1186.0
2;VEV_4000;Mark 38;buyer;64;124;1264.2581;124;-1253.0;-1186.0
2;VEV_4000;Mark 38;seller;64;132;1245.7197;-132;-1312.0;-1250.0
2;VEV_5200;Mark 14;buyer;8;26;82.6923;26;27.0;95.0
2;VEV_5200;Mark 22;seller;8;26;82.6923;-26;-27.0;-95.0
2;VEV_5300;Mark 01;buyer;31;107;43.4299;107;105.5;125.0
2;VEV_5300;Mark 14;buyer;14;55;42.8182;55;-1.0;10.0
2;VEV_5300;Mark 22;seller;45;162;43.2222;-162;-104.5;-135.0
2;VEV_5400;Mark 01;buyer;78;276;12.8007;276;164.0;179.0
2;VEV_5400;Mark 14;buyer;2;7;15.2857;7;-2.5;1.5
2;VEV_5400;Mark 22;seller;80;283;12.8622;-283;-161.5;-180.5
2;VEV_5500;Mark 01;buyer;91;324;4.7685;324;164.0;180.0
2;VEV_5500;Mark 14;buyer;3;11;5.6364;11;1.5;5.5
2;VEV_5500;Mark 22;seller;94;335;4.797;-335;-165.5;-185.5
2;VEV_6000;Mark 01;buyer;95;337;0.0;337;168.5;168.5
2;VEV_6000;Mark 22;seller;95;337;0.0;-337;-168.5;-168.5
2;VEV_6500;Mark 01;buyer;95;337;0.0;337;168.5;168.5
2;VEV_6500;Mark 22;seller;95;337;0.0;-337;-168.5;-168.5
3;HYDROGEL_PACK;Mark 14;buyer;171;689;9996.6154;689;5240.0;4744.5
3;HYDROGEL_PACK;Mark 14;seller;159;654;10009.2309;-654;5207.0;5443.5
3;HYDROGEL_PACK;Mark 22;buyer;4;16;10003.4375;16;11.0;34.0
3;HYDROGEL_PACK;Mark 22;seller;2;8;10018.75;-8;-17.0;-31.0
3;HYDROGEL_PACK;Mark 38;buyer;161;662;10009.3459;662;-5190.0;-5412.5
3;HYDROGEL_PACK;Mark 38;seller;175;705;9996.7702;-705;-5251.0;-4778.5
3;VELVETFRUIT_EXTRACT;Mark 01;buyer;93;486;5236.9527;486;1443.5;1416.5
3;VELVETFRUIT_EXTRACT;Mark 01;seller;71;389;5239.8098;-389;960.5;832.0
3;VELVETFRUIT_EXTRACT;Mark 14;buyer;110;589;5234.9949;589;1420.5;1163.5
3;VELVETFRUIT_EXTRACT;Mark 14;seller;116;623;5239.3644;-623;1326.0;1324.0
3;VELVETFRUIT_EXTRACT;Mark 22;buyer;6;34;5235.2059;34;63.5;145.0
3;VELVETFRUIT_EXTRACT;Mark 22;seller;24;182;5237.1648;-182;-48.5;-78.5
3;VELVETFRUIT_EXTRACT;Mark 49;buyer;5;37;5235.3243;37;-66.5;-129.5
3;VELVETFRUIT_EXTRACT;Mark 49;seller;34;329;5242.6991;-329;-430.0;-374.5
3;VELVETFRUIT_EXTRACT;Mark 55;buyer;194;1053;5239.7284;1053;-2272.0;-2071.5
3;VELVETFRUIT_EXTRACT;Mark 55;seller;209;1100;5235.6536;-1100;-2893.5;-2678.5
3;VELVETFRUIT_EXTRACT;Mark 67;buyer;46;424;5240.4057;424;496.5;451.5
3;VEV_4000;Mark 14;buyer;77;141;1229.2057;141;1493.5;1512.0
3;VEV_4000;Mark 14;seller;71;141;1249.4113;-141;1388.5;1394.5
3;VEV_4000;Mark 22;buyer;1;3;1226.0;3;12.0;19.5
3;VEV_4000;Mark 22;seller;1;2;1239.0;-2;-1.0;11.0
3;VEV_4000;Mark 38;buyer;72;143;1249.2657;143;-1387.5;-1405.5
3;VEV_4000;Mark 38;seller;78;144;1229.1389;-144;-1505.5;-1531.5
3;VEV_4500;Mark 22;buyer;1;3;726.0;3;12.0;21.0
3;VEV_4500;Mark 22;seller;1;2;739.0;-2;0.0;10.0
3;VEV_4500;Mark 38;buyer;1;2;739.0;2;0.0;-10.0
3;VEV_4500;Mark 38;seller;1;3;726.0;-3;-12.0;-21.0
3;VEV_5000;Mark 22;buyer;1;3;229.0;3;12.0;21.0
3;VEV_5000;Mark 22;seller;1;2;242.0;-2;0.0;10.0
3;VEV_5000;Mark 38;buyer;1;2;242.0;2;0.0;-10.0
3;VEV_5000;Mark 38;seller;1;3;229.0;-3;-12.0;-21.0
3;VEV_5100;Mark 22;buyer;1;3;139.0;3;12.0;18.0
3;VEV_5100;Mark 22;seller;1;2;151.0;-2;0.0;8.0
3;VEV_5100;Mark 38;buyer;1;2;151.0;2;0.0;-8.0
3;VEV_5100;Mark 38;seller;1;3;139.0;-3;-12.0;-18.0
3;VEV_5200;Mark 01;buyer;11;34;65.4412;34;36.5;75.0
3;VEV_5200;Mark 14;buyer;19;75;74.0667;75;50.5;43.0
3;VEV_5200;Mark 22;buyer;1;3;69.0;3;9.0;13.5
3;VEV_5200;Mark 22;seller;31;111;71.5135;-111;-87.0;-111.0
3;VEV_5200;Mark 38;buyer;1;2;79.0;2;0.0;-7.0
3;VEV_5200;Mark 38;seller;1;3;69.0;-3;-9.0;-13.5
3;VEV_5300;Mark 01;buyer;69;222;29.3333;222;157.5;202.5
3;VEV_5300;Mark 14;buyer;10;31;31.129;31;13.0;25.5
3;VEV_5300;Mark 22;buyer;1;3;28.0;3;3.0;6.0
3;VEV_5300;Mark 22;seller;79;253;29.5534;-253;-170.5;-228.0
3;VEV_5300;Mark 38;seller;1;3;28.0;-3;-3.0;-6.0
3;VEV_5400;Mark 01;buyer;109;368;7.5489;368;202.5;240.0
3;VEV_5400;Mark 14;buyer;6;22;9.1364;22;3.5;7.0
3;VEV_5400;Mark 22;seller;115;390;7.6385;-390;-206.0;-247.0
3;VEV_5500;Mark 01;buyer;119;408;1.6348;408;205.5;233.5
3;VEV_5500;Mark 14;buyer;1;5;1.0;5;-2.5;-2.5
3;VEV_5500;Mark 22;seller;120;413;1.6271;-413;-203.0;-231.0
3;VEV_6000;Mark 01;buyer;124;423;0.0;423;211.5;211.5
3;VEV_6000;Mark 22;seller;124;423;0.0;-423;-211.5;-211.5
3;VEV_6500;Mark 01;buyer;124;423;0.0;423;211.5;211.5
3;VEV_6500;Mark 22;seller;124;423;0.0;-423;-211.5;-211.5
